Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu_decode_dwarf.data -e cpu-clock:u -f 1000 --call-graph dwarf -p 11065 --duration 8
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 6278
Event count: 6278000000

Overhead  Sample  Shared Object                                        Symbol
6.07%     381     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+105788]
5.94%     373     /apex/com.android.runtime/lib64/bionic/libc.so       pthread_mutex_lock
4.76%     299     /apex/com.android.runtime/lib64/bionic/libc.so       pthread_mutex_unlock
3.33%     209     /vendor/lib64/egl/libGLES_mali.so                    clSetKernelArg
2.98%     187     /data/local/tmp/llmbench/litert_lm_advanced_main     tflite::half::operator float() const
2.85%     179     /apex/com.android.runtime/lib64/bionic/libc.so       __memmove_aarch64_simd
2.36%     148     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+272618]
2.33%     146     [vdso]                                               __kernel_clock_gettime
2.13%     134     /vendor/lib64/egl/libGLES_mali.so                    mcl_command_device::init(mcl_kernel*, unsigned int, unsigned long const*, unsigned long const*, unsigned long const*, mcl_command_device*)
2.13%     134     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_kernel::setarg_constant(unsigned int, unsigned long, void const*)
1.70%     107     /apex/com.android.runtime/lib64/bionic/libc.so       __memset_aarch64
1.67%     105     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::assign(mcl_gpu_payload*)
1.64%     103     /vendor/lib64/egl/libGLES_mali.so                    mcl_resource::is_resource_type(mcl_object_type) const
1.51%     95      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+103110]
1.50%     94      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::set_constant_implicit_args()
1.42%     89      /apex/com.android.runtime/lib64/bionic/libc.so       scudo::HybridMutex::tryLock()
1.39%     87      /vendor/lib64/egl/libGLES_mali.so                    mcl_kernel::set_arg_impl(unsigned int, unsigned long, void const*)
1.24%     78      /data/local/tmp/llmbench/litert_lm_advanced_main     litert::lm::TopKTokenIds(absl::lts_20260526::Span<float const>, int, int, int)
1.04%     65      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload_csf::finalize(mcl_gpu_kernel*, clcc_ndrange const*)
0.99%     62      /vendor/lib64/egl/libGLES_mali.so                    cmemp_heap_range_map.llvm.6761199997930444980
