Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu.data -e cpu-clock:u -f 1000 --call-graph fp -- taskset f0 ./litert_lm_advanced_main --backend=gpu --model_path=/data/local/tmp/llmbench/models/litert-community_Qwen3-0.6B_qwen3_0_6b_mixed_int4.litertlm --benchmark --benchmark_prefill_tokens=128 --benchmark_decode_tokens=256 --async=false --max_num_tokens=1024
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 16441
Event count: 16441000000

Overhead  Sample  Shared Object
39.07%    6424    /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so
27.95%    4595    /vendor/lib64/egl/libGLES_mali.so
20.66%    3397    /apex/com.android.runtime/lib64/bionic/libc.so
8.90%     1464    /data/local/tmp/llmbench/litert_lm_advanced_main
1.82%     299     [vdso]
0.96%     158     /apex/com.android.runtime/bin/linker64

Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu.data -e cpu-clock:u -f 1000 --call-graph fp -- taskset f0 ./litert_lm_advanced_main --backend=gpu --model_path=/data/local/tmp/llmbench/models/litert-community_Qwen3-0.6B_qwen3_0_6b_mixed_int4.litertlm --benchmark --benchmark_prefill_tokens=128 --benchmark_decode_tokens=256 --async=false --max_num_tokens=1024
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 16441
Event count: 16441000000

Overhead  Sample  Shared Object                                        Symbol
5.18%     851     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+105788]
5.05%     830     /apex/com.android.runtime/lib64/bionic/libc.so       pthread_mutex_lock
3.69%     606     /apex/com.android.runtime/lib64/bionic/libc.so       pthread_mutex_unlock
3.28%     539     /apex/com.android.runtime/lib64/bionic/libc.so       __memmove_aarch64_simd
2.52%     414     /vendor/lib64/egl/libGLES_mali.so                    clSetKernelArg
2.44%     401     /data/local/tmp/llmbench/litert_lm_advanced_main     tflite::half::operator float() const
2.04%     335     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+102f40]
1.84%     302     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+272618]
1.82%     299     [vdso]                                               __kernel_clock_gettime
1.77%     291     /apex/com.android.runtime/lib64/bionic/libc.so       scudo::HybridMutex::tryLock()
1.72%     283     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_kernel::setarg_constant(unsigned int, unsigned long, void const*)
1.46%     240     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::set_constant_implicit_args()
1.41%     231     /apex/com.android.runtime/lib64/bionic/libc.so       __memset_aarch64
