arm,model,ctx,regime,n,decode_med,decode_min,decode_max,prefill_med,ttft_med_ms,prompt_tokens,gen_tokens_med,short_stops,delta_vs_smallest_pct
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,2304,cold,8,291.33815456405733,289.4267457687105,293.3488796446292,7091.873365431469,337.5,1986,256.0,0,0.0
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,4096,cold,8,284.3905964097829,282.87979328475797,286.7653157547193,5768.385632077059,390.5,1986,256.0,0,-2.384705897746342
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,8192,cold,8,238.0635737707646,236.69294920778626,240.95001654405144,4597.536775727493,483.5,1986,256.0,0,-18.286166764874967
litert-lm,litert-community/Qwen3-1.7B,2304,cold,8,204.76604882305736,202.3384232237849,207.0259451035316,3375.625675727216,642.0,1986,256.0,0,0.0
litert-lm,litert-community/Qwen3-1.7B,4096,cold,8,202.6267194388935,201.87285363340533,203.9245977479526,3113.6263022528674,693.0,1986,256.0,0,-1.044767624545262
litert-lm,litert-community/Qwen3-1.7B,8192,cold,8,177.7761903181039,176.5969147811222,178.95928222406206,2679.559445038358,798.5,1986,256.0,0,-13.180826929114586
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,2304,cold,8,151.79429637114146,116.11382849723637,153.11026370258267,6664.092277229064,266.0,1637,77.0,8,0.0
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,4096,cold,8,153.17786714167624,142.9558983520238,155.42581337353954,6248.347595541303,283.0,1637,256.0,0,0.911477442572628
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,8192,cold,8,134.0393938556619,102.78989833092051,136.12290141573305,5417.676397718575,323.0,1637,93.0,8,-11.696686199637107
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,2304,cold,8,96.37705271707438,94.93084221118447,97.24348718389004,2061.43438939556,815.5,1637,256.0,0,0.0
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,4096,cold,8,96.52238304570128,96.11446422480509,97.21095671564883,1980.0198914603748,849.0,1637,256.0,0,0.15079349754918425
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,8192,cold,8,88.21738871504574,71.67680194933014,88.90281000428558,1813.5913220036716,925.5,1637,256.0,0,-8.466397105939983
