arm,model,ctx,regime,n,decode_med,decode_min,decode_max,prefill_med,ttft_med_ms,prompt_tokens,gen_tokens_med,short_stops,delta_vs_smallest_pct
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,2304,warm,8,290.36181348701314,289.08489872259173,293.95046674488066,7696.794779902511,293.0,1986,256.0,0,0.0
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,4096,warm,8,284.5255391263174,283.3366249449485,288.7604368699663,6557.763258042542,339.5,1986,256.0,0,-2.010000657664557
litert-lm,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,8192,warm,8,237.9603408213129,236.52761468537622,240.96361584395808,4923.941206423632,442.5,1986,256.0,0,-18.046957358614225
litert-lm,litert-community/Qwen3-1.7B,2304,warm,8,204.7943518324126,203.8062323708639,206.74286748523667,3712.410921704588,571.0,1986,256.0,0,0.0
litert-lm,litert-community/Qwen3-1.7B,4096,warm,8,202.23818985966182,201.12632046639558,203.85622478179624,3431.067217400394,617.0,1986,256.0,0,-1.2481603862017354
litert-lm,litert-community/Qwen3-1.7B,8192,warm,8,177.36024601405796,176.29481610484083,178.9040150782035,2920.651637915438,720.0,1986,256.0,0,-13.395928927182776
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,2304,warm,8,155.51120967461452,154.35689877320885,156.89910317898978,6713.878768587611,260.5,1637,77.0,8,0.0
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,4096,warm,8,154.95989296503245,154.51257857087404,156.43924862257745,6177.370174879525,281.0,1637,256.0,0,-0.35451895122905475
litert-lm,litert-community/gemma-4-E2B-it-litert-lm,8192,warm,8,137.44597786940938,136.73669677760168,138.88660729886456,5514.527726862405,313.5,1637,93.0,8,-11.616674992757192
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,2304,warm,8,96.93649208228081,86.43908887877686,97.89476772528755,2053.335941372626,815.0,1637,256.0,0,0.0
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,4096,warm,8,96.66490978817227,95.96385886417428,97.32729940271628,1971.6710935737203,849.5,1637,256.0,0,-0.28016517647246886
litert-lm,litert-community/gemma-4-E4B-it-litert-lm,8192,warm,8,88.56215004694462,87.9611121678813,89.01861516737866,1809.7483080007717,924.5,1637,256.0,0,-8.63899843644842
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,2304,warm,8,45.089741319176355,43.7146451527499,47.033093678458776,527.1609575773751,3856.5,1986,256.0,0,0.0
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,4096,warm,8,33.994822637810344,33.13009654685035,35.290942106062786,398.3784756840548,5098.0,1986,256.0,0,-24.60630368852309
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,8192,warm,8,18.115344750784104,17.860881742929262,18.831035543672666,262.330784684718,7766.0,1986,256.0,0,-59.8237997806393
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,2304,warm,8,28.464964520962262,28.03308067078719,29.107292111934257,574.4718756394277,3518.0,1986,256.0,0,0.0
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,4096,warm,8,28.60181783103672,28.298133323634808,28.991855892787072,573.0763995025688,3528.0,1986,256.0,0,0.4807780806249662
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,8192,warm,8,28.736315996215495,28.235364851419316,29.67300251467312,573.4763289076956,3523.5,1986,256.0,0,0.953282323796345
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,2304,warm,8,50.551715398677686,50.41475041421403,50.64361862553233,654.4248201412964,2528.0,1637,256.0,0,0.0
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,4096,warm,8,46.58002108460974,46.44417243607887,47.99043786317278,552.6832741801329,2989.5,1637,256.0,0,-7.856695431094785
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,8192,warm,8,39.202450402856414,39.06110553065084,39.280817142334,415.94478294596763,3969.5,1637,256.0,0,-22.450800939819626
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,2304,warm,8,33.39125936145044,32.96996822177506,33.73913849521416,229.66825185595184,7166.0,1637,256.0,0,0.0
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,4096,warm,8,31.250214125106393,30.979837591130284,31.318317810121375,209.9747254306672,7836.0,1637,256.0,0,-6.411993070305821
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,8192,warm,8,26.547458432082557,26.52795053091882,26.59599078269445,177.55692785363033,9264.0,1637,256.0,0,-20.495785604507375
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,2304,warm,8,297.8716947613949,292.886419759148,312.9221053355556,11895.028892282975,240.5,1986,256.0,0,0.0
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,4096,warm,8,298.31756156368544,292.78994305584223,305.0582737476712,11916.73666911781,245.5,1986,256.0,0,0.14968417950811386
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,8192,warm,8,307.68320648787875,295.95750638018956,312.76610233376994,12015.58937960674,253.0,1986,256.0,0,3.2938717907867066
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,2304,warm,8,193.26202661396036,188.7634190497186,198.01336432108562,4977.712280465311,538.0,1986,256.0,0,0.0
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,4096,warm,8,194.37323354462484,190.45592151258361,197.22741131977324,5015.165746432907,541.5,1986,256.0,0,0.5749742720457585
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,8192,warm,8,194.12764793746348,191.18575312981696,197.56073859115995,5047.78435179392,550.0,1986,256.0,0,0.44790036546196177
