t_s,utterances_done,rss_mb
0,0,0
5,6,1430
10,16,1533
15,26,1632
20,37,1746
25,49,1866
30,61,1990
35,75,2133
40,87,2255
45,101,2397
50,116,2550
55,131,2702
60,146,2855
65,163,3018
70,180,3201
75,198,3382
80,204,3445
85,204,3445
91,204,3445
96,204,3445
101,204,3445
106,204,3445
111,204,3445
116,204,3445
121,204,3445
126,204,3445
131,204,3445
136,204,3445
141,204,3445
146,204,3445
151,204,3445
156,204,3445
161,204,3445
166,204,3445
171,204,3445
176,204,3445
181,204,3445
186,204,3445
191,204,3445
196,204,3445
201,204,3445
206,204,3445
211,204,3445
216,204,3448
221,204,3448
226,204,3448
231,204,3448
236,204,3449
241,204,3449
246,204,3449
251,204,3449
256,204,3449
261,204,3449
266,204,3449
271,204,3449
276,204,3449
281,204,3450
286,204,3450
291,204,3450
296,204,3450
301,204,3450
306,204,3450
311,204,3450
316,204,3450
321,204,3450
326,204,3451
331,204,3451
336,204,3451
341,204,3451
346,204,3451
351,204,3451
357,204,3457
362,204,3457
367,204,3457
372,204,3458
377,204,3458
382,204,3458
387,204,3458
392,204,3458
397,204,3458
402,204,3458
407,204,3458
412,204,3458
417,204,3459
422,204,3459
427,204,3459
432,204,3459
437,204,3459
442,204,3459
447,204,3459
452,204,3459
457,204,3459
462,204,3460
467,204,3460
472,204,3460
477,204,3460
482,204,3460
487,204,3460
492,204,3460
497,204,3460
502,204,3460
507,204,3461
512,204,3461
517,204,3461
522,204,3461
527,204,3461
532,204,3461
537,204,3461
542,204,3461
547,204,3461
552,204,3462
557,204,3462
562,204,3462
567,204,3462
572,204,3462
577,204,3462
582,204,3462
587,204,3462
592,204,3462
597,204,3463
602,204,3463
607,204,3463
612,204,3463
617,204,3463
622,204,3463
627,204,3475
633,204,3475
638,204,3475
643,204,3476
648,204,3476
653,204,3476
658,204,3476
663,204,3476
668,204,3476
