t_s,utterances_done,rss_mb
0,,1
5,2,374
10,6,380
15,9,380
20,13,382
25,17,368
30,22,368
35,27,368
40,32,368
46,37,364
51,43,364
56,49,364
61,54,364
66,60,364
71,66,364
76,72,361
81,78,361
86,84,361
91,90,361
96,96,361
101,103,362
106,109,362
111,115,365
116,122,365
121,128,365
126,135,365
131,142,364
136,149,364
141,156,364
146,162,364
151,169,361
156,175,361
161,182,364
166,189,364
171,196,364
176,203,364
181,210,362
186,217,362
191,225,362
196,234,362
201,241,360
206,248,360
211,256,360
216,264,360
221,271,360
226,279,360
231,286,360
236,295,360
